categoria,codigo_de_vehiculo,tipo_transaccion,marca,modelo,pais,ano_modelo,clase,sub_clase,tipo,avaluo,fecha_proceso,tipo_servicio,cilindraje,tipo_combustible,fecha_compra,canton,color_1,color_2,persona_natural__juridica,provincia
104512,10434059,COMPRA LOCAL,RANGER,TTK250,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1928.61,2025-12-03,PAR,250,GASOLINA,2025-11-29,SALCEDO,NEG,NEG,NATURAL,SALCEDO
104512,10434530,COMPRA LOCAL,RANGER,TTK250,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1928.61,2025-12-04,PAR,250,GASOLINA,2025-11-29,PICHINCHA,NEG,NEG,NATURAL,PICHINCHA
104512,10433997,COMPRA LOCAL,RANGER,TTK250,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1928.61,2025-12-04,PAR,250,GASOLINA,2025-11-27,PASAJE,NEG,,NATURAL,PASAJE
104512,10434519,COMPRA LOCAL,RANGER,TTK250,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1928.61,2025-12-06,PAR,250,GASOLINA,2025-11-25,CAYAMBE,NEG,NEG,NATURAL,CAYAMBE
104512,10434512,COMPRA LOCAL,RANGER,TTK250,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1928.61,2025-12-04,PAR,250,GASOLINA,2025-11-23,LATACUNGA,NEG,ROJ,NATURAL,LATACUNGA
104511,10149471,COMPRA LOCAL,SCANIA,G460 B AC 12.7 2P 6X4 TM DIESEL,BRASIL,2026,CAMION,CAJON-C,PESADO,47255.14,2025-11-14,ALQ,12740,DIESEL,2025-11-20,GUANO,ROJ,ROJ,NATURAL,GUANO
104511,10149471,COMPRA LOCAL,SCANIA,G460 B AC 12.7 2P 6X4 TM DIESEL,BRASIL,2026,CAMION,CAJON-C,PESADO,47255.14,2025-11-20,ALQ,12740,DIESEL,2025-11-20,GUANO,ROJ,ROJ,NATURAL,GUANO
104497,10435469,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-30,PAR,150,GASOLINA,2025-12-29,MANTA,ROJ,,NATURAL,MANTA
104497,10435290,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-27,PAR,150,GASOLINA,2025-12-27,MACHALA,ROJ,,NATURAL,MACHALA
104497,10435422,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-27,PAR,150,GASOLINA,2025-12-27,DURAN,VRD,,NATURAL,DURAN
104497,10435481,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-24,PAR,150,GASOLINA,2025-12-24,DURAN,ROJ,,NATURAL,DURAN
104497,10435284,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-26,PAR,150,GASOLINA,2025-12-23,PEDERNALES,ROJ,ROJ,NATURAL,PEDERNALES
104497,10435374,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-21,PAR,150,GASOLINA,2025-12-21,CUMANDA,ROJ,,NATURAL,CUMANDA
104497,10435280,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-21,PAR,150,GASOLINA,2025-12-20,MANTA,ROJ,,NATURAL,MANTA
104497,10435434,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-20,PAR,150,GASOLINA,2025-12-20,PEDERNALES,VRD,VRD,NATURAL,PEDERNALES
104497,10435494,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-21,PAR,150,GASOLINA,2025-12-20,GUAYAQUIL,ROJ,,NATURAL,GUAYAQUIL
104497,10435319,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-21,PAR,150,GASOLINA,2025-12-19,GUAYAQUIL,VRD,VRD,NATURAL,GUAYAQUIL
104497,10435440,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-19,PAR,150,GASOLINA,2025-12-17,SANTO DOMINGO,VRD,,NATURAL,SANTO DOMINGO
104497,10435370,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-19,PAR,150,GASOLINA,2025-12-16,PORTOVIEJO,ROJ,,NATURAL,PORTOVIEJO
104497,10435478,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-17,PAR,150,GASOLINA,2025-12-14,GUAYAQUIL,ROJ,,NATURAL,GUAYAQUIL
104497,10435310,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-16,PAR,150,GASOLINA,2025-12-12,GUAYAQUIL,VRD,VRD,NATURAL,GUAYAQUIL
104497,10435479,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-19,PAR,150,GASOLINA,2025-12-12,LA LIBERTAD,ROJ,,NATURAL,LA LIBERTAD
104497,10435511,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-15,PAR,150,GASOLINA,2025-12-12,PORTOVIEJO,ROJ,ROJ,NATURAL,PORTOVIEJO
104497,10435418,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-17,PAR,150,GASOLINA,2025-12-11,BALZAR,VRD,,NATURAL,BALZAR
104497,10435428,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-12,PAR,150,GASOLINA,2025-12-11,GUAYAQUIL,VRD,VRD,NATURAL,GUAYAQUIL
104497,10434807,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-16,PAR,150,GASOLINA,2025-12-10,GUAYAQUIL,VRD,,NATURAL,GUAYAQUIL
104497,10435485,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-12,PAR,150,GASOLINA,2025-12-10,NOBOL (VICENTE PIEDRAHITA),ROJ,ROJ,NATURAL,NOBOL (VICENTE PIEDRAHITA)
104497,10435485,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-13,PAR,150,GASOLINA,2025-12-10,NOBOL (VICENTE PIEDRAHITA),ROJ,ROJ,NATURAL,NOBOL (VICENTE PIEDRAHITA)
104497,10435313,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-11,PAR,150,GASOLINA,2025-12-09,NOBOL (VICENTE PIEDRAHITA),VRD,VRD,NATURAL,NOBOL (VICENTE PIEDRAHITA)
104497,10435367,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-11,PAR,150,GASOLINA,2025-12-09,GUAYAQUIL,ROJ,ROJ,NATURAL,GUAYAQUIL
