AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|10|C|BOLIVAR|CHIMBO|10777,5900|2175,9700|0,0000|0,0000|0,0000|10101,2700|7765,7600|0,0000|0,0000|17867,0300|12953,5600
2025|10|A|ESMERALDAS|ELOY ALFARO|121698,5200|1433270,0800|0,0000|0,0000|0,0000|192348,9400|569166,8200|920,0000|8528,7400|771212,8200|1554968,6000
2025|10|S|LOS RIOS|QUEVEDO|1165984,3400|845489,3900|0,0000|4526,4400|0,0000|986780,1500|389340,3800|10743,4200|66773,7800|1458218,7300|2016000,1700
2025|10|G|MORONA SANTIAGO|SANTIAGO|763636,8400|203641,8600|0,0000|42102,7600|0,0000|895287,0000|161485,1900|9473,0400|10372,0900|1117187,7200|1009381,4600
2025|10|H|EL ORO|ZARUMA|872003,4300|344229,3500|0,0000|3586,5200|0,0000|1099450,2000|166785,2500|0,0000|3234,7000|1270962,3100|1219819,3000
2025|10|O|LOJA|QUILANGA|0,0000|10156,3700|0,0000|0,0000|0,0000|22061,1800|6892,6400|0,0000|1190,0000|30143,8200|10156,3700
2025|10|O|ESMERALDAS|ATACAMES|441,4000|0,0000|0,0000|0,0000|0,0000|320259,6500|58907,9400|0,0000|10214,0800|390357,5200|441,4000
2025|10|S|BOLIVAR|SAN MIGUEL|42358,4100|27787,1500|0,0000|0,0000|0,0000|71065,5500|4802,8400|0,0000|0,0000|75868,3900|70145,5600
2025|10|H|NAPO|QUIJOS|58161,2400|157211,9300|0,0000|0,0000|0,0000|43325,5200|94416,4300|0,0000|54,0000|137795,9500|215373,1700
2025|10|G|GUAYAS|LOMAS DE SARGENTILLO|1141457,5700|2423180,3300|0,0000|7283,6100|0,0000|603903,7300|1881289,0800|468323,9900|42444,5800|3045534,7200|3571921,5100
2025|10|G|MANABI|PAJAN|610631,4100|1873554,8600|0,0000|67953,4700|27,7500|1104986,8800|1677272,5900|0,0000|819410,1600|3700018,1500|2552167,4900
2025|10|Q|GUAYAS|PLAYAS|16055,7100|53668,4800|0,0000|0,0000|0,0000|39557,8000|23252,2200|0,0000|1818,6600|64628,6800|69724,1900
2025|10|M|BOLIVAR|CALUMA|306291,0300|101111,3400|0,0000|0,0000|0,0000|106484,9400|59252,9300|65,5800|10281,8500|177867,8900|407402,3700
2025|10|C|CHIMBORAZO|PALLATANGA|3030,4400|61665,7500|0,0000|0,0000|0,0000|16021,8500|29300,2200|0,0000|0,0000|45387,7800|64696,1900
2025|10|I|BOLIVAR|SAN MIGUEL|17149,4800|15250,2600|0,0000|0,0000|0,0000|27152,1700|7910,9700|0,0000|0,0000|35063,1400|32399,7400
2025|10|S|EL ORO|PORTOVELO|34572,1800|5233,9000|0,0000|2942,8600|0,0000|38235,7500|9036,0400|0,0000|0,0000|51561,7900|42748,9400
2025|10|Q|LOJA|ZAPOTILLO|6394,4500|1,0000|0,0000|0,0000|0,0000|13365,3500|46,0000|0,0000|604,2000|14015,5500|6395,4500
2025|10|O|EL ORO|PASAJE|6511,8000|520701,8600|0,0000|0,0000|0,0000|864321,1100|76138,3500|0,0000|8398,8200|948858,2800|527213,6600
2025|10|I|LOS RIOS|VALENCIA|91108,3600|131473,0900|0,0000|0,0000|0,0000|45507,5200|60250,3800|0,0000|3924,5000|109700,9300|222581,4500
2025|10|I|EL ORO|PORTOVELO|15459,0700|9692,5700|0,0000|0,0000|0,0000|15826,1600|5729,9900|0,0000|0,0000|21556,1500|25151,6400
2025|10|P|PASTAZA|PASTAZA|54518,9200|140156,1600|0,0000|0,0000|0,0000|554481,9700|183760,0400|930,9200|14914,4000|754413,6700|194675,0800
2025|10|A|IMBABURA|OTAVALO|35850,6000|469880,1800|0,0000|0,0000|139004,1800|160301,3900|215583,0200|93,8600|40652,7000|417690,9700|644734,9600
2025|10|C|MANABI|TOSAGUA|63266,9600|28475,5300|0,0000|31054,6500|0,0000|95202,7300|20595,1600|0,0000|1063,4600|137518,2700|122797,1400
2025|10|J|COTOPAXI|PUJILI|49294,5500|7863,5000|0,0000|0,0000|0,0000|12396,7200|639,0500|0,0000|0,0000|13035,7700|57158,0500
